board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,chemistry,wch12,2021-01,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/January 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2021 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2021-01,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/January 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 January 2021 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2021-01,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/January 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2021 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2021-01,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/January 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 January 2021 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2021-01,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/January 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2021 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2021-01,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/January 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 January 2021 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2021-01,WCH15-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/January 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 January 2021 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2021-01,WCH15-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/January 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 January 2021 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2021-01,WCH16-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/MS/January 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 January 2021 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2021-01,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/January 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 January 2021 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2021-06,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/June 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 June 2021 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2021-06,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/June 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 June 2021 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2021-06,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/June 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 June 2021 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2021-06,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/June 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 June 2021 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2021-06,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/June 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 June 2021 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2021-06,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/June 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 June 2021 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2021-06,WCH14-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/June 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 June 2021 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch14,2021-06,WCH14-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/June 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH14/01 June 2021 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2021-06,WCH15-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/June 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 June 2021 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch15,2021-06,WCH15-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/June 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH15/01 June 2021 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2021-06,WCH16-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/MS/June 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 June 2021 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch16,2021-06,WCH16-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/June 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH16/01 June 2021 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2021-10,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/October 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2021 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2021-10,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/October 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2021 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2021-10,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/October 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2021 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2021-10,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/October 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2021 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2021-10,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/October 2021 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2021 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2021-10,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/October 2021 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2021 question paper [PMT label: October = IAL session],normalized
