board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,physics,wph04,2019-06,WPH04/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2019%20Jun%20%282013%20syllabus%29/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2019%20Jun%20%282013%20syllabus%29/Question-paper/Questionpaper-Unit4%28WPH04%29-June2019.pdf,Pearson Edexcel physics (wph04) WPH04/01 2019 question paper,normalized
pearson-edexcel,international-a-level,physics,wph04,2019-06,WPH04/01A,none,ms,,,Pearson Edexcel physics (wph04) WPH04/01A 2019 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph11,2019-10,WPH11/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2019%20Oct%20%282018%20syllabus%29/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2019%20Oct%20%282018%20syllabus%29/Question-paper/Questionpaper-Unit1%28WPH11%29-October2019.pdf,Pearson Edexcel physics (wph11) WPH11/01 2019 question paper,normalized
pearson-edexcel,international-a-level,physics,wph11,2019-10,WPH11/01A,none,ms,,,Pearson Edexcel physics (wph11) WPH11/01A 2019 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph13,2019-06,WPH13/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2019%20Jun%20%282018%20syllabus%29/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2019%20Jun%20%282018%20syllabus%29/Question-paper/Questionpaper-Unit3%28WPH13%29-June2019.pdf,Pearson Edexcel physics (wph13) WPH13/01 2019 question paper,normalized
pearson-edexcel,international-a-level,physics,wph13,2019-06,WPH13/01A,none,ms,,,Pearson Edexcel physics (wph13) WPH13/01A 2019 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph13,2020-10,WPH13/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2020%20Oct%20%282018%20syllabus%29/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2020%20Oct%20%282018%20syllabus%29/Question-paper/Questionpaper-Unit3%28WPH13%29-October2020.pdf,Pearson Edexcel physics (wph13) WPH13/01 2020 question paper,normalized
pearson-edexcel,international-a-level,physics,wph13,2020-10,WPH13/01A,none,ms,,,Pearson Edexcel physics (wph13) WPH13/01A 2020 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph13,2021-01,WPH13/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2021%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2021%20Jan/Question-paper/QuestionPaper-Unit3%28WPH13%29-January2021.pdf,Pearson Edexcel physics (wph13) WPH13/01 2021 question paper,normalized
pearson-edexcel,international-a-level,physics,wph13,2021-01,WPH13/01A,none,ms,,,Pearson Edexcel physics (wph13) WPH13/01A 2021 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph14,2020-10,WPH14/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2020%20Oct%20%282018%20syllabus%29/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2020%20Oct%20%282018%20syllabus%29/Question-paper/Questionpaper-Unit4%28WPH14%29-October2020.pdf,Pearson Edexcel physics (wph14) WPH14/01 2020 question paper,normalized
pearson-edexcel,international-a-level,physics,wph14,2020-10,WPH14/01A,none,ms,,,Pearson Edexcel physics (wph14) WPH14/01A 2020 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph14,2021-01,WPH14/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2021%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2021%20Jan/Question-paper/QuestionPaper-Unit4%28WPH14%29-January2021.pdf,Pearson Edexcel physics (wph14) WPH14/01 2021 question paper,normalized
